100,158
884,142
530,155
554,138
152,143
493,18
988,54
791,41
813,51
728,32
104,64
922,68
537,51
688,104
900,147
405,73
505,145
904,105
439,16
317,91
39,64
750,143
265,124
347,132
721,9
601,120
945,32
357,65
137,97
731,149
394,97
442,71
778,69
639,15
156,50
512,138
471,108
926,125
804,43
167,142
348,158
54,19
644,28
480,62
161,43
524,2
699,65
160,117
16,143
751,58
460,77
71,43
526,55
20,152
270,3
559,98
308,133
616,86
729,149
438,77
11,95
798,13
632,99
244,133
110,155
172,67
260,19
854,48
240,13
173,120
414,71
185,71
698,71
379,156
601,96
669,148
484,47
674,141
130,81
117,124
915,97
163,100
885,36
17,34
596,138
340,13
275,4
789,46
30,86
104,85
690,116
595,4
945,131
290,44
540,51
668,26
49,148
334,54
553,65
411,127
894,32
